"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","date_added_asdate","date_month"
"s105","TV Show","Tayo the Little Bus","","Robyn Slade, Kami Desilets","South Korea","September 6, 2021",2016,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",2021-09-06,"2021-09"
"s125","TV Show","Pororo - The Little Penguin","","","South Korea","September 2, 2021",2013,"TV-Y7","3 Seasons","Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",2021-09-02,"2021-09"
"s194","TV Show","D.P.","","Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",", South Korea","August 27, 2021",2021,"TV-MA","1 Season","International TV Shows, TV Dramas","A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.",2021-08-27,"2021-08"
"s290","TV Show","The Crowned Clown","","Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han","South Korea","August 10, 2021",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people.",2021-08-10,"2021-08"
"s457","TV Show","Her Private Life","","Park Min-young, Kim Jae-uk, Ahn Bo-hyun, Jung Je-won, Park Jin-joo, Kim Bo-ra, Maeng Sang-hun, Kim Mee-kyung, Kim Sun-young, Lee Il-hwa","South Korea","July 15, 2021",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director.",2021-07-15,"2021-07"
"s546","TV Show","YooHoo to the Rescue","","Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Morris, Lucien Dodge, Kyle Hebert","South Korea","July 6, 2021",2020,"TV-Y","3 Seasons","Kids' TV, Korean TV Shows","In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.",2021-07-06,"2021-07"
"s556","Movie","Snowpiercer","Bong Joon Ho","Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, Adnan Haskovic, Vlad Ivanov, Ko A-sung, Luke Pasqualino","South Korea, Czech Republic","July 2, 2021",2013,"R","126 min","Action & Adventure, Cult Movies, International Movies","The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.",2021-07-02,"2021-07"
"s557","Movie","The 8th Night","Kim Tae-hyung","Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal","South Korea","July 2, 2021",2021,"TV-14","116 min","Horror Movies, International Movies, Thrillers","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",2021-07-02,"2021-07"
"s687","TV Show","Hospital Playlist","","Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung","South Korea","June 18, 2021",2021,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Comedies","Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",2021-06-18,"2021-06"
"s732","TV Show","Love (ft. Marriage and Divorce)","","Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun","South Korea","June 12, 2021",2021,"TV-14","2 Seasons","International TV Shows, TV Dramas","Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",2021-06-12,"2021-06"
"s763","Movie","Sweet & Sour","Lee Kae-byeok","Jang Ki-yong, Chae Soo-bin, Jung Soo-jung","South Korea","June 4, 2021",2021,"TV-14","103 min","Comedies, International Movies, Romantic Movies","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",2021-06-04,"2021-06"
"s885","TV Show","Move to Heaven","","Lee Je-hoon, Tang Jun-sang, Hong Seung-hee, Ji Jin-hee, Lim Won-hee, Choi Soo-young","South Korea","May 14, 2021",2021,"TV-MA","1 Season","International TV Shows, TV Dramas","Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones.",2021-05-14,"2021-05"
"s903","TV Show","Mine","","Lee Bo-young, Kim Seo-hyung, Lee Hyun-wook, Ok Ja-yeon, Cha Hak-yeon, Jeong E-suh, Park Hyuk-kwon, Park Won-sook","South Korea","May 9, 2021",2021,"TV-14","1 Season","International TV Shows, TV Dramas","Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.",2021-05-09,"2021-05"
"s1033","TV Show","Love Naggers","","Seo Jang-hoon, Kim Sook, Han Hye-jin, Kwak Jung-eun, Ju Wu-jae","South Korea","April 16, 2021",2021,"TV-14","1 Season","International TV Shows, Stand-Up Comedy & Talk Shows","From the quirky to the scandalous, any relationship is fair game for a panel of love experts who comb over text messages and revel in reenactments.",2021-04-16,"2021-04"
"s1063","TV Show","Law School","","Kim Myung-min, Kim Beom, Ryu Hye-young, Lee Jung-eun, Park Hyuk-kwon, An Nae-sang, Chung Won-joong, Lee Su-kyoung, Lee David, Go Youn-jung, Hyunwoo","South Korea","April 14, 2021",2021,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",2021-04-14,"2021-04"
"s1065","TV Show","Signal","","Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju","South Korea","April 14, 2021",2016,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",2021-04-14,"2021-04"
"s1086","Movie","Night in Paradise","Park Hoon-jung","Um Tae-goo, Jeon Yeo-been, Cha Seoung-won, Lee Ki-young, Park Ho-san","South Korea","April 9, 2021",2021,"TV-MA","132 min","Dramas, International Movies","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",2021-04-09,"2021-04"
"s1149","TV Show","Robocar Poli","","Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine","South Korea","March 31, 2021",2015,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows","When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",2021-03-31,"2021-03"
"s1174","TV Show","Men on a Mission","Jung-ah Im","Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min","South Korea","March 23, 2021",2021,"TV-14","6 Seasons","International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",2021-03-23,"2021-03"
"s1175","TV Show","Navillera","","Park In-hwan, Song Kang, Na Moon-hee, Hong Seung-hee, Cho Seong-ha, Kim Tae-hun, Cheong Hae-kyun, Kim Soo-jin, Jo Bok-rae, Kim Kwon","South Korea","March 23, 2021",2021,"TV-14","1 Season","International TV Shows, TV Dramas","A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.",2021-03-23,"2021-03"
"s1211","TV Show","Love Alarm","","Kim So-hyun, Jung Ga-ram, Song Kang, Ko Min-si, Z. Hera, Shin Seung-ho, Lee Jae-eung, Song Sun-mi","South Korea","March 12, 2021",2021,"TV-MA","2 Seasons","International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",2021-03-12,"2021-03"
"s1286","TV Show","Vincenzo","","Song Joong-ki, Jeon Yeo-been, Ok Taec-yeon, Yoo Jae-myung, Kim Yeo-jin, Kwak Dong-yeon, Cho Han-cheul","South Korea","February 21, 2021",2021,"TV-14","1 Season","International TV Shows, TV Comedies, TV Dramas","During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",2021-02-21,"2021-02"
"s1297","TV Show","Hello, Me!","","Choi Kang-hee, Kim Young-kwang, Lee Re, Um Mun-suk, Kim You-mi, Ji Seung-hyun, Yoon Joo-sang, Baek Hyun-joo, Kim Yong-rim, Kim Byung-choon, Yun Bok-in, Jung Yi-rang, Moon Seong-hyun, Kim Mi-hwa, Kim Do-yeon, Choi Dae-chul, Kang Tae-ju, Park Chul-min, Jung Dae-ro, Shin Mun-seong, Kim Ki-ri, Koh Woo-ri, Choi Tae-hwan","South Korea","February 18, 2021",2021,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Miserable and unsuccessful, a woman thinks she's lost all her spark — until one day, her spunky younger self appears in front of her demanding change.",2021-02-18,"2021-02"
"s1299","TV Show","Sisyphus","","Cho Seung-woo, Park Shin-hye, Sung Dong-il, Tae In-ho, Chae Jong-hyeop, Jeong He-in, Kim Jong-tae, Choi Jung-woo, Go Yoon, Heo Joon-seok, Jeon Kook-hwan, Tae Won-seok","South Korea","February 18, 2021",2021,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.",2021-02-18,"2021-02"
"s1343","Movie","Space Sweepers","Jo Sung-hee","Song Joong-ki, Kim Tae-ri, Jin Sun-kyu, Yoo Hai-jin, Richard Armitage, Park Ye-rin","South Korea","February 5, 2021",2021,"TV-MA","138 min","Action & Adventure, Dramas, International Movies","Chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid.",2021-02-05,"2021-02"
"s1385","TV Show","Busted!","","Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong","South Korea","January 22, 2021",2021,"TV-14","3 Seasons","Crime TV Shows, International TV Shows, Korean TV Shows","Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?",2021-01-22,"2021-01"
"s1408","Movie","Pinkfong & Baby Shark's Space Adventure","Byeon Hee-sun","Jo Kyoung-i, Kim Seo-yeong, Kim Eun-ah, Jeong Jae-heon","United States, South Korea","January 15, 2021",2019,"TV-Y","65 min","Children & Family Movies","Joined by new friends from other planets, Pinkfong and Baby Shark explore outer space and search for missing star pieces to return home.",2021-01-15,"2021-01"
"s1413","Movie","Wish You","Sung Do-jun","Kang In-soo, Lee Sang, Soo-bin","South Korea","January 15, 2021",2021,"TV-PG","102 min","Dramas, International Movies, LGBTQ Movies","Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.",2021-01-15,"2021-01"
"s1469","Movie","What Happened to Mr. Cha?","Kim Dong-kyu","Cha In-pyo, Cho Dal-hwan, Song Jae-ryong","South Korea","January 1, 2021",2021,"TV-MA","102 min","Comedies, International Movies","With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.",2021-01-01,"2021-01"
"s1484","TV Show","A Love So Beautiful","","Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won","South Korea","December 28, 2020",2020,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",2020-12-28,"2020-12"
"s1504","TV Show","Lovestruck in the City","","Ji Chang-wook, Kim Ji-won, Kim Min-seok, Han Ji-eun, Ryu Gyeong-soo, So Joo-yeon","South Korea","December 22, 2020",2020,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Heart stolen by a free-spirited woman after a beachside romance, a passionate architect sets out to reunite with her on the streets of Seoul.",2020-12-22,"2020-12"
"s1529","TV Show","Run On","","Yim Si-wan, Shin Sae-kyeong, Choi Soo-young, Kang Tae-oh, Park Yeong-gyu, Cha Hwa-yeon, Lee Bong-ryeon, Ryu Abell, Seo Jae-hee, Yeon Je-wook, Choi Jae-hyun, Lee Jeong-ha, Park Sung-jun, Lee Hwang-eui, Lee Shin-ki, Kim Dong-yeong, Kim Si-eun, Kim Si-young","South Korea","December 17, 2020",2020,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life.",2020-12-17,"2020-12"
"s1584","TV Show","100 Days My Prince","","Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","South Korea","December 7, 2020",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",2020-12-07,"2020-12"
"s1626","TV Show","The Guest","","Kim Dong-wook, Kim Jae-uk, Jung Eun-chae, Ahn Nae-sang, Lee Won-jong, Park Ho-san","South Korea","December 1, 2020",2018,"TV-14","1 Season","International TV Shows, TV Horror, TV Mysteries","Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst.",2020-12-01,"2020-12"
"s1635","TV Show","The Uncanny Counter","","Cho Byeong-kyu, Yu Jun-sang, Kim Se-jeong, Yeom Hye-ran, Ahn Seok-hwan, Moon Sook, Choi Yoon-young, Lee Hong-nae","South Korea","November 29, 2020",2020,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans.",2020-11-29,"2020-11"
"s1644","Movie","The Call","Lee Chung-hyun","Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young","South Korea","November 27, 2020",2020,"TV-MA","112 min","International Movies, Thrillers","Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",2020-11-27,"2020-11"
"s1662","TV Show","Strongest Deliveryman","","Ko Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Go Won-hee","South Korea","November 23, 2020",2017,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals – and bump into love along the way.",2020-11-23,"2020-11"
"s1712","TV Show","Graceful Friends","","Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae","South Korea","November 12, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","When a sudden death brings everyone’s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control.",2020-11-12,"2020-11"
"s1767","TV Show","The Good Detective","","Son Hyun-joo, Jang Seung-jo, Lee Elijah, Oh Jung-se","South Korea","November 1, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths.",2020-11-01,"2020-11"
"s1770","TV Show","Voice","","Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook","South Korea","November 1, 2020",2018,"TV-14","2 Seasons","Crime TV Shows, International TV Shows, Korean TV Shows","A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder.",2020-11-01,"2020-11"
"s1835","TV Show","Start-Up","","Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na, Kim Do-wan, Yu Su-bin, Stephanie Lee, Kim Hae-sook, Seo Yi-sook, Song Sun-mi","South Korea","October 18, 2020",2020,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.",2020-10-18,"2020-10"
"s1871","Movie","My Step Dad: The Hippie","Meltem Bozoflu","Onur Buldu, Mahir İpek, Derya Karadaş, Onur Attila, Meltem Yılmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin","Turkey, South Korea","October 9, 2020",2018,"TV-MA","100 min","Comedies, International Movies","When three adult siblings meet the offbeat man who their widowed mom fawns over, they take drastic actions to stop them from ever getting married.",2020-10-09,"2020-10"
"s1876","TV Show","Do Do Sol Sol La La Sol","","Go A-ra, Lee Jae-wook, Kim Ju-hun, Ye Ji-won, Lee Soon-jae, Shin Eun-soo, Seo Yi-sook","South Korea","October 8, 2020",2020,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",2020-10-08,"2020-10"
"s1878","TV Show","Private Lives","","Seohyun, Ko Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok, Song Sun-mi, Park Seong-geun, Jang Jin-hee, Yoon Sa-bong, Lee Hak-ju, Song Sang-eun, Jang Won-hyeok, Yoo Hee-je, Min Zio, Kim Min-sang, Kim Ba-da, Cha Soo-yeon","South Korea","October 8, 2020",2020,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",2020-10-08,"2020-10"
"s1908","TV Show","Familiar Wife","","Ji Sung, Han Ji-min, Kang Han-na, Jang Seung-jo","South Korea","October 1, 2020",2018,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",2020-10-01,"2020-10"
"s1956","TV Show","The School Nurse Files","","Jung Yu-mi, Nam Joo-hyuk","South Korea","September 25, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Mysteries","Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",2020-09-25,"2020-09"
"s2037","Movie","#Alive","Cho Il","Yoo Ah-in, Park Shin-hye","South Korea","September 8, 2020",2020,"TV-MA","99 min","Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020-09-08,"2020-09"
"s2038","TV Show","Record of Youth","","Park Bo-gum, Park So-dam, Byeon Woo-seok, Ha Hee-ra, Shin Ae-ra, Han Jin-hee, Shin Dong-mi, Lee Chang-hoon, Kwon Soo-hyun, Cho Yu-jung, Park Su-young, Seo Sang-won, Lee Jae-won","South Korea","September 8, 2020",2020,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.",2020-09-08,"2020-09"
"s2109","TV Show","Goedam","Hong Won-ki","SEOLA, Lee Hyun-joo, Song Chae-yun, Han Ga-rim, Shim So-young","South Korea","August 20, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Horror, TV Mysteries","When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",2020-08-20,"2020-08"
"s2123","TV Show","Stranger","","Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin","South Korea","August 16, 2020",2020,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, Korean TV Shows","With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",2020-08-16,"2020-08"
"s2208","Movie","Animal Crackers","Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor","China, Spain, South Korea, United States","July 24, 2020",2020,"TV-Y7","106 min","Children & Family Movies, Comedies","Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands.",2020-07-24,"2020-07"
"s2216","Movie","The Larva Island Movie","Ahn Byoung-wook","Hong Bum-ki, Eddy Lee, Kang Shi-hyun, Ahn Hyo-min, Kim Yeon-woo, Choi Nak-yoon, Tom Wayland, Erica Schroeder","South Korea","July 23, 2020",2020,"TV-Y7","91 min","Children & Family Movies, Comedies","In this movie sequel to the hit series, Chuck returns home and talks to a reporter about life on the island with zany larva pals Red and Yellow.",2020-07-23,"2020-07"
"s2256","TV Show","Was It Love?","","Song Ji-hyo, Son Ho-jun, Song Jong-ho, Koo Ja-sung, Kim Min-jun, Kim Da-som, Kim Mee-kyung, Um Chae-young, Kim Young-ah, Kim Byung-choon","South Korea","July 9, 2020",2020,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","When four very different men appear in her life, a single mother who hasn't dated in years begins to rediscover love — and herself.",2020-07-09,"2020-07"
"s2338","TV Show","Twogether","","Lee Seung-gi, Jasper Liu","South Korea","June 26, 2020",2020,"TV-G","1 Season","International TV Shows, Korean TV Shows, Reality TV","Paired together for an unforgettable trip across Asia, stars Lee Seung-gi and Jasper Liu become buddies as they connect with fans and local cultures.",2020-06-26,"2020-06"
"s2350","TV Show","It's Okay to Not Be Okay","","Kim Soo-hyun, Seo Yea-ji, Oh Jung-se, Park Gyu-young, Kim Ju-hun, Kim Chang-wan, Kim Mee-kyung, Kang Ki-doong, Jang Young-nam","South Korea","June 21, 2020",2020,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.",2020-06-21,"2020-06"
"s2378","Movie","The Nut Job","Peter Lepeniotis","Will Arnett, Brendan Fraser, Gabriel Iglesias, Jeff Dunham, Liam Neeson, Katherine Heigl, Stephen Lang, Maya Rudolph, Sarah Gadon, James Rankin","Canada, South Korea, United States","June 18, 2020",2014,"PG","85 min","Children & Family Movies, Comedies","When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.",2020-06-18,"2020-06"
"s2409","TV Show","My Mister","","Lee Sun-kyun, Lee Ji-eun (IU), Go Du-sim, Park Ho-san, Song Sae-byeok, Kim Young-min","South Korea","June 10, 2020",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",2020-06-10,"2020-06"
