"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","date_added_asdate","date_month"
"s2411","Movie","The Witch: Part 1 - The Subversion","Park Hoon-jung","Kim Da-mi, Cho Min-soo, Choi Woo-shik, Park Hee-soon, Choi Jung-woo, Ko Min-si, Oh Mi-hee, Kim Byung-ok","South Korea","June 10, 2020",2018,"TV-MA","126 min","Action & Adventure, International Movies, Sci-Fi & Fantasy","The life of a seemingly ordinary high school student with a mysterious past is turned upside down when a group of strangers show up and wreak havoc.",2020-06-10,"2020-06"
"s2448","TV Show","Dear My Friends","","Shin Gu, Kim Yeong-ok, Kim Hye-ja, Na Mun-hee, Ju Hyun, Youn Yuh-jung, Park Won-suk, Go Du-sim, Ko Hyun-jung","South Korea","June 1, 2020",2016,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Dramas","Life is ever-delightful — and ever-challenging — for a group of friends in their twilight years as they rediscover themselves through love and family.",2020-06-01,"2020-06"
"s2453","TV Show","My Shy Boss","","Yeon Woo-jin, Park Hye-su, Yoon Bak, Gong Seung-yeon","South Korea","June 1, 2020",2017,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.",2020-06-01,"2020-06"
"s2454","TV Show","Revolutionary Love","","Choi Si-won, Kang So-ra, Gong Myoung","South Korea","June 1, 2020",2017,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.",2020-06-01,"2020-06"
"s2487","TV Show","Mystic Pop-up Bar","","Hwang Jung-eum, Yook Sung-jae, Choi Won-young, Lee Jun-hyeok, Jeong Da-eun, Na In-woo, Yeom Hye-ran, Park Eun-hye, Park Si-eun, Song Geon-hee, Kim Hee-jung, Ahn Tae-hwan","South Korea","May 21, 2020",2020,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Comedies","A young man with a unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.",2020-05-21,"2020-05"
"s2518","TV Show","Boys Over Flowers","","Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin","South Korea","May 16, 2020",2009,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.",2020-05-16,"2020-05"
"s2519","TV Show","Iris","","Lee Byung-hun, Kim Tae-hee, Jeong Jun-ho, Kim Young-chul, Kim Seung-woo, Kim So-yeon, Yun Ju-sang, Lee Jeong-kil","South Korea","May 16, 2020",2009,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Action & Adventure","Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.",2020-05-16,"2020-05"
"s2529","TV Show","Strangers from Hell","","Lee Dong-wook, Im Si-wan, Lee Jung-eun, Lee Hyun-wook, Park Jong-hwan, Lee Joong-ok, Ahn Eun-jin","South Korea","May 15, 2020",2019,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Horror","Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.",2020-05-15,"2020-05"
"s2563","Movie","Arctic Dogs","Aaron Woodley","Jeremy Renner, Heidi Klum, James Franco, John Cleese, Omar Sy, Michael Madsen, Laurie Holden, Anjelica Huston, Alec Baldwin, Donny Falsetti","India, United Kingdom, China, Canada, Japan, South Korea, United States","May 4, 2020",2019,"PG","93 min","Children & Family Movies, Comedies","When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.",2020-05-04,"2020-05"
"s2607","TV Show","Extracurricular","","Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon","South Korea","April 29, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.",2020-04-29,"2020-04"
"s2632","TV Show","My Secret Romance","","Sung Hoon, Song Ji-eun, Kim Jae-young, Jeong Da-sol, Lee Kan-hee, Kim Jong-goo, Park Sin-un, Jeon So-min","South Korea","April 25, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss – who turns out to be someone she slept with in the past.",2020-04-25,"2020-04"
"s2651","Movie","Time to Hunt","Yoon Sung-hyun","Lee Je-hoon, Ahn Jae-hong, Choi Woo-shik, Park Jeong-min, Park Hae-soo","South Korea","April 23, 2020",2020,"TV-MA","135 min","International Movies, Thrillers","Wanting to leave their dystopian world behind for a faraway paradise, three outlaws plot a money heist — and draw the attention of a vicious killer.",2020-04-23,"2020-04"
"s2666","TV Show","The King: Eternal Monarch","","Lee Min-ho, Kim Go-eun, Woo Do‑hwan, Kim Kyung-nam, Jung Eun-chae, Lee Jung-jin, Kim Young-ok","South Korea","April 18, 2020",2020,"TV-14","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.",2020-04-18,"2020-04"
"s2762","TV Show","Rugal","","Choi Jin-hyuk, Park Sung-woong, Cho Dong-hyuk, Jung Hye-in, Han Ji-wan, Park Sun-ho, Kim Min-sang","South Korea","March 29, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","A police detective who loses everything to a criminal organization seeks payback when he gains special abilities through biotechnology.",2020-03-29,"2020-03"
"s2822","TV Show","Kingdom","Kim Seong-hun","Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States","March 13, 2020",2020,"TV-MA","2 Seasons","International TV Shows, Korean TV Shows, TV Action & Adventure","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",2020-03-13,"2020-03"
"s2889","TV Show","Hi Bye, Mama!","","Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong","South Korea","February 23, 2020",2020,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",2020-02-23,"2020-02"
"s2893","TV Show","Hyena","","Kim Hye-soo, Ju Ji-hoon, Lee Gyoung-young, Kim Ho-jung, Song Young-kyu, Hwang Bo-ra, Jeon Seok-ho, Hyun Bong-sik, Park Se-jin","South Korea","February 21, 2020",2020,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","To survive in a dog-eat-dog world, two rival lawyers with high-class clientele tear apart anything that stands in the way of their ambitions.",2020-02-21,"2020-02"
"s2960","TV Show","Itaewon Class","","Park Seo-joon, Kim Da-mi, Yu Jae-myeong, Kwon Na-ra, Kim Dong-hee, Ahn Bo-hyun, Kim Hye-eun, Ryu Gyeong-su, Lee Joo-young, Chris Lyon","South Korea","February 1, 2020",2020,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Dramas","In a colorful Seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",2020-02-01,"2020-02"
"s2963","TV Show","Miraculous: Tales of Ladybug & Cat Noir","Thomas Astruc","Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, André Gordon, Matthew Mercer, Christopher Corey Smith, Philece Sampler, Selah Victor, Marieve Herington, Ben Diskin, Kira Buckland, Erin Fitzgerald, Grant George, Ethan Murray, David Roach, Todd Haberkorn","France, South Korea, Japan, United States","February 1, 2020",2019,"TV-Y7","5 Seasons","Kids' TV, TV Action & Adventure","When Paris is in peril, Marinette becomes Ladybug. Little does she know, her school crush Adrien is actually Cat Noir, another city-saving superhero.",2020-02-01,"2020-02"
"s3052","Movie","Aruna & Her Palate","Edwin","Dian Sastrowardoyo, Oka Antara, Hannah Al Rashid, Nicholas Saputra, Deddy Mahendra Desta, Ayu Azhari","Indonesia, South Korea, Singapore","January 1, 2020",2018,"TV-14","106 min","Dramas, International Movies","An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride.",2020-01-01,"2020-01"
"s3053","TV Show","Because This Is My First Life","","Lee Min-ki, Jung So-min, Esom, Kim Ga-eun, Park Byung-eun, Kim Min-seok, Moon Hee-kyung, Kim Byung-ok, Kim Sun-young","South Korea","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond.",2020-01-01,"2020-01"
"s3059","Movie","Garfield's Fun Fest","Mark A.Z. Dippé, Eondeok Han","Frank Welker, Tim Conway, Gregg Berger, Wally Wingert, Audrey Wasilewski, Fred Tatasciore, Stephen Stanton, Jennifer Darling, Neil Ross, Greg Eagles","United States, South Korea","January 1, 2020",2008,"TV-Y7","79 min","Children & Family Movies, Comedies","Garfield has long been the champ at a yearly competition for the funniest comic strip. But this time, Garfield must battle tall, handsome Ramone.",2020-01-01,"2020-01"
"s3060","Movie","Garfield's Pet Force","Mark A.Z. Dippé","Frank Welker, Vanessa Marshall, Gregg Berger, Wally Wingert, Audrey Wasilewski, Jason Marsden, Fred Tatasciore, Stephen Stanton, Jennifer Darling, Neil Ross, Greg Eagles, Cathy Cavadini, David Michie, Greg Finley","South Korea, United States","January 1, 2020",2009,"G","78 min","Children & Family Movies, Comedies","When an alien menace and her army of undead minions threaten to enslave the world, Garfield heads a team of comic-strip superheroes to save the day.",2020-01-01,"2020-01"
"s3064","TV Show","Live Up To Your Name","","Kim Nam-gil, Kim Ah-joong, Yoo Min-kyu, Moon Ga-young, Yun Ju-sang, Um Hyo-sup, An Seok-hwan, Lee Dae-yeon, Oh Dae-whan","South Korea","January 1, 2020",2017,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other.",2020-01-01,"2020-01"
"s3072","TV Show","Reply 1988","","Lee Hye-ri, Park Bo-gum, Ryu Jun-yeol, Ko Kyoung-pyo, Lee Dong-hwi, Ryu Hye-young, Sung Dong-il, Lee Il-hwa","South Korea","January 1, 2020",2015,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.",2020-01-01,"2020-01"
"s3075","TV Show","Save Me","","Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan, Son Byung-ho, Kim Kwang-gyoo, Yun Yoo-sun, Park Ji-young, Jeong Hae-gyoon, Jang Hyeok-jin","South Korea","January 1, 2020",2017,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Dramas","Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.",2020-01-01,"2020-01"
"s3077","TV Show","The Bride of Habaek","","Shin Sae-kyeong, Nam Joo-hyuk, Lim Ju-hwan, Krystal Jung, Gong Myoung, Lee Gyoung-young, Yang Dong-geun","South Korea","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him.",2020-01-01,"2020-01"
"s3085","TV Show","Rainbow Ruby","","Alyssya Swales, Shannon Chan-Kent, Brian Drummond, Olivia Charles, Kate Higgins, Johnny Yong Bosch","South Korea, Canada, United States, China","December 31, 2019",2016,"TV-Y","1 Season","Kids' TV","Ruby makes magical journeys with her teddy bear Choco to Rainbow Village, where her toys come to life – and where there's always a problem to solve!",2019-12-31,"2019-12"
"s3086","TV Show","Robot Trains","","Bill Rogers, Carrie Savage, Ken Spassione, Angela Mulligan, Mark Szabo, Daniel J. Edwards, Mike Pollock, Anthony Salerno","South Korea","December 31, 2019",2018,"TV-Y7","2 Seasons","Kids' TV, Korean TV Shows","Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!",2019-12-31,"2019-12"
"s3128","TV Show","Cinderella and the Four Knights","","Jung Il-woo, Ahn Jae-hyeon, Park So-dam, Lee Jung-shin, Kim Yong-geon, Choi Min, Son Na-eun","South Korea","December 15, 2019",2016,"TV-PG","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Catching the eye of a wealthy gentleman, spunky Ha-won gets hired to live with his three immature grandsons so she can whip them into shape.",2019-12-15,"2019-12"
"s3130","TV Show","Crash Landing on You","","Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Kim Jung-nan, Kim Sun-young, Hwangwoo Seul-hye","South Korea","December 15, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A paragliding mishap drops a South Korean heiress in North Korea – and into the life of an army officer, who decides he will help her hide.",2019-12-15,"2019-12"
"s3205","TV Show","Chocolate","","Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo","South Korea","November 30, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",2019-11-30,"2019-11"
"s3271","TV Show","Inheritors","","Lee Min-ho, Park Shin-hye, Kim Woo-bin, Krystal Jung, Kim Ji-won, Choi Jin-hyuk, Kang Ha-neul, Kim Sung-ryoung, Kim Mee-kyeong, Yoon Jin-seo","South Korea","November 15, 2019",2013,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich.",2019-11-15,"2019-11"
"s3278","TV Show","My Sassy Girl","","Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Sohn Chang-min, Yoon Se-a, Cho Hee-bong, Jung Woong-in, Lee Kyung-hwa","South Korea","November 15, 2019",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.",2019-11-15,"2019-11"
"s3289","TV Show","Chief of Staff","","Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa","South Korea","November 12, 2019",2019,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Dramas","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.",2019-11-12,"2019-11"
"s3309","Movie","Tune in for Love","Jung Ji-woo","Kim Go-eun, Jung Hae-in, Park Hae-joon, Kim Guk-hee, Jung Eugene, Choi Jun-young, Yoo Yeol, Nam Mun-cheol","South Korea","November 5, 2019",2019,"TV-MA","123 min","Dramas, International Movies, Romantic Movies","A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years, as fate keeps pulling them apart.",2019-11-05,"2019-11"
"s3320","Movie","Hey Arnold! The Jungle Movie","Raymie Muzquiz, Stu Livingston","Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui","United States, South Korea, Japan","November 2, 2019",2017,"TV-PG","81 min","Children & Family Movies, Comedies","When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents.",2019-11-02,"2019-11"
"s3359","TV Show","Bring It On, Ghost","Park Joon-hwa","Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun","South Korea","October 30, 2019",2016,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.",2019-10-30,"2019-10"
"s3361","TV Show","Tomorrow with You","","Shin Mina, Lee Je-hoon, Kim Ye-won, Cho Han-cheul, Baek Hyeon-jin, Kang Ki-doong, Park Joo-hee, Oh Gwang-rok","South Korea","October 30, 2019",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.",2019-10-30,"2019-10"
"s3417","TV Show","Another Miss Oh","","Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo","South Korea","October 16, 2019",2016,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",2019-10-16,"2019-10"
"s3420","Movie","Park Na-rae: Glamour Warning","Kim Joo-hyung","Park Na-rae","South Korea","October 16, 2019",2019,"TV-MA","63 min","Stand-Up Comedy","Korea’s beloved comedian and favorite big sister figure talks sex, relationships and celebrity life. And she’s sassier and dirtier than ever before.",2019-10-16,"2019-10"
"s3421","TV Show","Second 20s","","Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae, Son Na-eun, Jung Soo-young, Choi Yoon-so, Park Hyo-ju","South Korea","October 16, 2019",2015,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",2019-10-16,"2019-10"
"s3427","TV Show","The Lies Within","","Lee Min-ki, Lee Yoo-young, On Ju-wan, Lee Jun-hyeok, Yun Jong-seok, Kim Jong-soo, Seo Hyun-woo, Song Young-chang, Lee Jun-hyuk","South Korea","October 13, 2019",2019,"TV-14","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","After her father dies and her husband goes missing, Kim Seo-hui teams up with detective Jo Tae-sik and joins the National Assembly.",2019-10-13,"2019-10"
"s3446","TV Show","My Country: The New Age","","Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang","South Korea","October 5, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Action & Adventure","At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything.",2019-10-05,"2019-10"
"s3462","TV Show","Cheese in the Trap","Lee Yoon-jung","Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang","South Korea","October 1, 2019",2016,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side.",2019-10-01,"2019-10"
"s3463","TV Show","Chicago Typewriter","","Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin","South Korea","October 1, 2019",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A veterinarian and two writers have a mysterious connection to Korean independence fighters from the Japanese colonial period.",2019-10-01,"2019-10"
"s3471","TV Show","Miniforce X","","","South Korea","October 1, 2019",2018,"TV-Y7","1 Season","Kids' TV, Korean TV Shows","Zenos wants to use the Earth’s negative energy for his own good – and it's up to Miniforce X to stop this space alien’s evil plans.",2019-10-01,"2019-10"
"s3474","TV Show","The K2","","Ji Chang-wook, Song Yoon-a, Lim Yoona, Cho Seong-ha, Kim Kap-soo, Lee Jung-jin, Son Tae-young, Shin Dong-mi","South Korea","October 1, 2019",2016,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A fugitive soldier gets swept up in personal and political intrigue when he's hired as a bodyguard for the family of a presidential candidate.",2019-10-01,"2019-10"
"s3475","TV Show","The Liar and His Lover","","Lee Hyun-woo, Joy, Lee Jung-jin, Lee Seo-won, Hong Seo-young, Choi Min-soo, Lim Ye-jin, Jang Ki-yong, Song Kang, Park Ji-young","South Korea","October 1, 2019",2017,"TV-PG","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A talented singer falls in love at first sight with a music prodigy who has an affinity for lies – and a knack for being a hit-making producer.",2019-10-01,"2019-10"
"s3500","TV Show","Vagabond","","Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra","South Korea","September 21, 2019",2019,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Action & Adventure","When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",2019-09-21,"2019-09"
"s3511","TV Show","When the Camellia Blooms","","Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim","South Korea","September 18, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.",2019-09-18,"2019-09"
"s3581","Movie","Invader Zim: Enter the Florpus","","Richard Steven Horvitz, Rikki Simons, Andy Berman, Melissa Fahn, Rodger Bumpass, Jhonen Vasquez, Wally Wingert, Kevin McDonald, Olivia d'Abo, Eric Bauza","South Korea, United States","August 16, 2019",2019,"TV-Y7","72 min","Children & Family Movies, Comedies, Sci-Fi & Fantasy","When Zim reappears to begin the next phase of his evil alien plan to conquer Earth, his nemesis Dib Membrane sets out to unmask him once and for all.",2019-08-16,"2019-08"
"s3607","TV Show","Bad Guys","","Kim Sang-jung, Ma Dong-seok, Park Hae-Jin, Cho Dong-hyuk, Kang Ye-won, Kang Shin-il, Ji-a Min, Hwang Seung-eon","South Korea","August 8, 2019",2014,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","Reinstated to eradicate the worst crimes in the city, a detective requests the release of three convicts to enlist their help in catching the felons.",2019-08-08,"2019-08"
"s3611","TV Show","Let’s Eat","","Lee Soo-kyung, Yoon Du-jun, Yoon So-hui, Shim Hyoung-tak, Do-yeon Lee, Jang Won-young, Jung Soo-young","South Korea","August 8, 2019",2013,"TV-PG","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","With the help of her neighbors, a divorced woman residing in a one-person-household apartment complex learns to balance living alone and eating well.",2019-08-08,"2019-08"
"s3612","TV Show","Misaeng","","Im Si-wan, Kang So-ra, Lee Sung-min, Kang Ha-neul, Byun Yo-han, Kim Dae-myeong, Shin Eun-jung, Park Hae-joon","South Korea","August 8, 2019",2014,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Dramas","Equipped with nothing more than a GED and strategies for the game of go, an office intern gets thrown into the cold reality of the corporate world.",2019-08-08,"2019-08"
"s3613","TV Show","Oh My Ghost","","Park Bo-young, Cho Jung-seok, Lim Ju-hwan, Kim Seul-ki","South Korea","August 8, 2019",2015,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Possessed by the ghost of a lustful virgin, a timid assistant chef becomes confidently libidinous, drawing the attention of a haughty culinary star.",2019-08-08,"2019-08"
